,Top10,appid
124,"['appid', 'adventure', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",3600
125,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",3610
126,"['appid', 'action', 'singleplayer', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",3620
127,"['appid', 'action', 'third_person_shooter', 'singleplayer', 'multiplayer', 'shooter', 'third_person', 'fps', 'war', 'co_op']",3700
128,"['appid', 'action', 'fps', 'first_person', 'singleplayer', 'shooter', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack']",3710
129,"['appid', 'strategy', 'comedy', 'singleplayer', 'simulation', 'funny', 'building', 'great_soundtrack', 'sandbox', 'heist']",3720
130,"['appid', 'fps', 'action', 'horror', 'multiplayer', 'shooter', 'first_person', 'singleplayer', 'atmospheric', 'adventure']",3730
131,"['appid', 'action', 'story_rich', 'singleplayer', 'third_person_shooter', 'great_soundtrack', 'dark_fantasy', 'heist', 'funny', 'free_to_play']",3800
132,"['appid', 'action', 'third_person', 'singleplayer', 'horror', 'third_person_shooter', 'adventure', 'heist', 'great_soundtrack', 'funny']",3810
133,"['appid', 'action', 'third_person', 'singleplayer', 'horror', 'third_person_shooter', 'adventure', 'heist', 'great_soundtrack', 'funny']",3820
134,"['appid', 'comedy', 'adventure', 'action', 'singleplayer', 'third_person', 'funny', 'story_rich', 'exploration', 'great_soundtrack']",3830
135,"['appid', 'strategy', 'multiplayer', 'singleplayer', 'moddable', 'simulation', 'great_soundtrack', 'war', 'tactical', 'building']",3900
136,"['appid', 'strategy', 'singleplayer', 'multiplayer', 'military', 'exploration', 'simulation', 'third_person', 'crime', 'great_soundtrack']",3910
137,"['appid', 'open_world', 'rpg', 'adventure', 'singleplayer', 'sandbox', 'strategy', 'action', 'exploration', 'trading']",3920
138,"['appid', 'strategy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",3960
139,"['appid', 'strategy', 'simulation', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",3980
140,"['appid', 'strategy', 'multiplayer', 'singleplayer', 'dark_fantasy', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",3990
141,"['sandbox', 'multiplayer', 'funny', 'moddable', 'building', 'co_op', 'comedy', 'first_person', 'mod', 'simulation']",4000
142,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",4100
143,"['appid', 'racing', 'simulation', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",4230
144,"['appid', 'racing', 'simulation', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",4290
145,"['appid', 'action', 'physics', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",4300
146,"['appid', 'rpg', 'fantasy', 'action', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",4420
147,"['appid', 'simulation', 'strategy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",4460
148,"['appid', 'rpg', 'action', 'fantasy', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",4470
149,"['appid', 'atmospheric', 'post_apocalyptic', 'open_world', 'fps', 'survival', 'action', 'rpg', 'shooter', 'horror']",4500
150,"['appid', 'strategy', 'action', 'tactical', 'military', 'singleplayer', 'third_person', 'crime', 'great_soundtrack', 'funny']",4520
151,"['appid', 'strategy', 'action', 'tactical', 'military', 'third_person', 'crime', 'great_soundtrack', 'funny', 'free_to_play']",4530
152,"['appid', 'strategy', 'multiplayer', 'action', 'military', 'tactical', 'singleplayer', 'war', 'co_op', 'moddable']",4560
153,"['appid', 'strategy', 'multiplayer', 'tactical', 'singleplayer', 'action', 'war', 'great_soundtrack', 'fantasy', 'story_rich']",4570
154,"['appid', 'strategy', 'multiplayer', 'singleplayer', 'war', 'action', 'tactical', 'atmospheric', 'co_op', 'fantasy']",4580
155,"['appid', 'strategy', 'war', 'tactical', 'singleplayer', 'multiplayer', 'moddable', 'military', 'simulation', 'action']",4700
156,"['appid', 'horror', 'action', 'atmospheric', 'first_person', 'crime', 'psychological_horror', 'fps', 'singleplayer', 'survival']",4720
157,"['appid', 'strategy', 'tactical', 'war', 'great_soundtrack', 'multiplayer', 'singleplayer', 'moddable', 'action', 'atmospheric']",4760
158,"['appid', 'strategy', 'multiplayer', 'singleplayer', 'dark_fantasy', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",4770
159,"['appid', 'strategy', 'singleplayer', 'multiplayer', 'moddable', 'war', 'great_soundtrack', 'dark_fantasy', 'funny', 'free_to_play']",4780
160,"['appid', 'strategy', 'rpg', 'fantasy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",4800
161,"['appid', 'strategy', 'multiplayer', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",4850
162,"['appid', 'strategy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",4870
163,"['appid', 'strategy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",4880
164,"['appid', 'strategy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",4890
165,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",4900
166,"['appid', 'multiplayer', 'strategy', 'fps', 'team_based', 'action', 'competitive', 'shooter', 'co_op', 'moddable']",4920
167,"['appid', 'action', 'fps', 'tactical', 'singleplayer', 'shooter', 'multiplayer', 'first_person', 'great_soundtrack', 'atmospheric']",6000
168,"['appid', 'adventure', 'singleplayer', 'pixel_graphics', 'third_person', '2d', 'dinosaurs', 'heist', 'great_soundtrack', 'funny']",6010
169,"['appid', 'action', 'third_person', 'multiplayer', 'singleplayer', 'fps', 'moddable', 'adventure', 'shooter', 'first_person']",6020
170,"['appid', 'action', 'fps', 'multiplayer', 'third_person', 'shooter', 'singleplayer', 'third_person_shooter', 'story_rich', 'adventure']",6030
171,"['appid', 'adventure', 'pixel_graphics', 'great_soundtrack', 'story_rich', 'atmospheric', 'singleplayer', 'third_person', 'exploration', 'fps']",6040
172,"['appid', 'action', 'multiplayer', 'third_person_shooter', 'shooter', 'fps', 'first_person', 'singleplayer', 'moddable', 'third_person']",6060
173,"['appid', 'simulation', 'strategy', 'action', 'adventure', 'racing', 'singleplayer', 'building', 'dinosaurs', 'heist']",6080
174,"['appid', 'action', 'third_person_shooter', 'comedy', 'funny', 'shooter', 'dinosaurs', 'horror', 'heist', 'great_soundtrack']",6090
175,"['appid', 'action', '2d', 'singleplayer', 'adventure', 'co_op', 'multiplayer', 'fps', 'fantasy', 'first_person']",6120
176,"['appid', 'strategy', 'comedy', 'simulation', 'funny', 'singleplayer', 'tactical', 'horror', 'sandbox', 'great_soundtrack']",6200
177,"['appid', 'strategy', 'simulation', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",6210
178,"['appid', 'racing', 'driving', 'multiplayer', 'action', 'funny', 'singleplayer', 'great_soundtrack', 'dark_fantasy', 'heist']",6220
179,"['appid', 'strategy', 'action', 'singleplayer', 'multiplayer', 'dark_fantasy', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",6250
180,"['appid', 'racing', 'simulation', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",6270
181,"['appid', 'adventure', 'story_rich', 'fantasy', 'singleplayer', 'third_person', 'rpg', 'great_soundtrack', 'atmospheric', 'driving']",6300
182,"['appid', 'adventure', 'story_rich', 'fantasy', 'singleplayer', 'atmospheric', 'funny', 'rpg', 'action', 'great_soundtrack']",6310
183,"['appid', 'free_to_play', 'action', 'moba', 'multiplayer', 'pvp', 'rpg', 'competitive', 'heist', 'great_soundtrack']",6370
184,"['appid', 'strategy', 'action', 'military', 'third_person_shooter', 'third_person', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",6400
