,appid,2d,action,adventure,atmospheric,building,choices_matter,class_based,co_op,comedy,competitive,crafting,crime,dark_fantasy,dinosaurs,driving,exploration,fps,fantasy,first_person,free_to_play,funny,great_soundtrack,heist,horror,moba,mature,military,mod,moddable,multiplayer,multiple_endings,online_co_op,open_world,physics,pixel_graphics,post_apocalyptic,psychological_horror,pvp,rpg,racing,sandbox,shooter,simulation,singleplayer,story_rich,strategy,survival,tactical,team_based,third_person,third_person_shooter,trading,war,zombies,e_sports
59,2370,0,35,0,0,0,0,0,0,0,0,0,0,5,0,0,0,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2390,0,47,0,0,0,0,0,0,0,0,0,0,24,0,0,0,47,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,13,0,0,0,0,0,0,0,0,0,0,0
61,2400,0,128,39,0,0,0,0,0,41,0,0,0,0,0,0,0,43,0,125,0,67,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,104,0,0,37,47,49,0,41,55,0,0,0,0,0,0,0,0
62,2420,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
63,2450,0,60,0,0,0,0,0,0,25,0,0,0,0,0,0,0,30,0,8,0,19,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2500,0,100,11,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,43,0,31,0,0,0,0,0,0,0,0,0,0,0
65,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
66,2540,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0
67,2570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
68,2590,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,20,0,0,0,0,0,0,0,0,0,0,0
69,2600,0,316,99,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,168,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,0,0,0,0,355,217,0,0,0,0,102,0,0,0,0,0
70,2610,0,74,32,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,5,0,20,31,0,29,20,0,0,0,0,23,48,0,0,0,0
71,2620,0,154,0,51,0,0,0,8,0,0,0,0,0,0,0,0,172,0,63,0,0,0,0,0,0,0,60,0,0,91,0,0,6,0,0,0,0,0,0,0,0,88,0,88,21,0,0,0,0,0,0,0,72,9,0
72,2630,0,157,9,43,0,0,0,10,0,0,0,0,0,0,0,0,152,0,67,5,0,0,0,0,0,0,17,0,0,112,0,0,0,0,0,0,0,0,0,0,0,93,5,107,10,0,0,0,0,0,0,0,79,9,0
73,2640,0,74,0,10,0,0,0,0,0,0,0,0,0,0,0,0,62,0,15,0,0,0,0,0,0,0,33,0,0,41,0,0,0,0,0,0,0,0,0,0,0,39,0,40,0,0,0,0,0,0,0,0,17,0,0
74,2700,0,0,0,0,171,0,0,0,14,0,0,0,0,0,0,0,0,0,0,9,40,13,0,0,0,0,0,0,28,23,0,0,20,0,0,0,0,0,0,0,187,0,257,98,0,132,0,0,0,0,0,0,0,0,0
75,2710,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
76,2720,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
77,2780,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,0,0,0,0,10,0,0,0,0,0,0,0
78,2800,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,15,0,33,18,0,39,0,0,0,0,0,15,0,0,0
79,2810,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,52,0,75,39,0,67,0,0,0,0,0,17,0,0,0
80,2820,0,61,0,11,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,28,0,0,0,0,0,0,25,8,0,0,108,0,0,0,0,0,0,0,137,0,205,91,0,120,0,0,0,0,0,101,0,0,0
81,2840,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,52,18,0,32,0,0,0,0,0,14,0,0,0
82,2850,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,43,8,0,27,0,0,0,0,0,0,0,0,0
83,2870,0,148,21,26,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,24,0,0,0,96,0,0,0,0,0,0,0,128,0,311,115,0,32,0,0,0,0,0,36,0,0,0
84,2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,28,0,0,0,0,0,0,0,0,0
85,2910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,25,0,0,0,0,0,0,0,0,0
86,2920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,28,0,0,0,0,0,0,0,0,0
87,2990,0,65,0,12,0,0,0,0,11,0,0,0,0,0,23,0,0,0,0,0,6,88,0,0,0,0,0,0,0,97,0,0,0,14,0,0,0,0,0,237,0,0,22,54,0,0,0,0,0,0,0,0,0,0,0
